valid_from,valid_to,data_type_description,data_coverage,data_type
1965-01-01 00:00:00+00:00,2025-05-27 00:00:00+00:00,Total sunshine for the period,1.0,TSUN
1965-01-01 00:00:00+00:00,1996-06-30 00:00:00+00:00,Direction of fastest 1-minute wind,1.0,WDF1
1993-06-01 00:00:00+00:00,2026-09-19 00:00:00+00:00,Direction of fastest 2-minute wind,1.0,WDF2
1993-06-01 00:00:00+00:00,2026-09-19 00:00:00+00:00,Direction of fastest 5-second wind,1.0,WDF5
1891-10-06 00:00:00+00:00,2026-08-31 00:00:00+00:00,Direction of peak wind gust,1.0,WDFG
1965-01-01 00:00:00+00:00,1981-02-03 00:00:00+00:00,Direction of highest instantaneous wind,1.0,WDFI
1965-01-01 00:00:00+00:00,1996-06-30 00:00:00+00:00,Fastest mile wind direction,1.0,WDFM
1859-10-01 00:00:00+00:00,2026-08-31 00:00:00+00:00,Total wind movement,1.0,WDMV
1952-07-01 00:00:00+00:00,2026-09-20 00:00:00+00:00,Water equivalent of snow on the ground,1.0,WESD
1998-06-01 00:00:00+00:00,2026-09-20 00:00:00+00:00,Water equivalent of snowfall,1.0,WESF
1965-01-01 00:00:00+00:00,1996-06-30 00:00:00+00:00,Fastest 1-minute wind speed,1.0,WSF1
1993-06-01 00:00:00+00:00,2026-09-19 00:00:00+00:00,Fastest 2-minute wind speed,1.0,WSF2
1993-06-01 00:00:00+00:00,2026-09-19 00:00:00+00:00,Fastest 5-second wind speed,1.0,WSF5
1948-01-01 00:00:00+00:00,2026-08-31 00:00:00+00:00,Peak gust wind speed,1.0,WSFG
1965-01-01 00:00:00+00:00,2026-09-19 00:00:00+00:00,Highest instantaneous wind speed,1.0,WSFI
1965-01-01 00:00:00+00:00,1996-06-30 00:00:00+00:00,Fastest mile wind speed,1.0,WSFM
1843-12-18 00:00:00+00:00,2026-09-19 00:00:00+00:00,"Fog, ice fog, or freezing fog (may include heavy fog)",1.0,WT01
1900-12-23 00:00:00+00:00,2026-09-19 00:00:00+00:00,Heavy fog or heaving freezing fog (not always distinguished from fog),1.0,WT02
1844-04-24 00:00:00+00:00,2026-09-19 00:00:00+00:00,Thunder,1.0,WT03
1843-12-07 00:00:00+00:00,2026-08-31 00:00:00+00:00,"Ice pellets, sleet, snow pellets, or small hail"" ",1.0,WT04
1844-03-18 00:00:00+00:00,2026-09-17 00:00:00+00:00,Hail (may include small hail),1.0,WT05
1851-12-27 00:00:00+00:00,2026-08-24 00:00:00+00:00,Glaze or rime ,1.0,WT06
1891-12-21 00:00:00+00:00,2026-09-14 00:00:00+00:00,"Dust, volcanic ash, blowing dust, blowing sand, or blowing obstruction",1.0,WT07
1851-04-11 00:00:00+00:00,2026-09-19 00:00:00+00:00,Smoke or haze ,1.0,WT08
1852-02-12 00:00:00+00:00,2026-04-24 00:00:00+00:00,Blowing or drifting snow,1.0,WT09
1886-03-20 00:00:00+00:00,2026-09-12 00:00:00+00:00,"Tornado, waterspout, or funnel cloud"" ",1.0,WT10
1851-04-03 00:00:00+00:00,2026-08-31 00:00:00+00:00,High or damaging winds,1.0,WT11
1985-03-07 00:00:00+00:00,2008-01-16 00:00:00+00:00,Blowing spray,1.0,WT12
1995-08-01 00:00:00+00:00,2018-02-20 00:00:00+00:00,Mist,1.0,WT13
1851-09-06 00:00:00+00:00,2018-06-19 00:00:00+00:00,Drizzle,1.0,WT14
1967-12-01 00:00:00+00:00,2019-04-13 00:00:00+00:00,Freezing drizzle ,1.0,WT15
1851-04-01 00:00:00+00:00,2019-07-30 00:00:00+00:00,"Rain (may include freezing rain, drizzle, and freezing drizzle)"" ",1.0,WT16
1851-12-27 00:00:00+00:00,2021-01-31 00:00:00+00:00,Freezing rain ,1.0,WT17
1851-04-13 00:00:00+00:00,2021-03-16 00:00:00+00:00,"Snow, snow pellets, snow grains, or ice crystals",1.0,WT18
1992-11-01 00:00:00+00:00,2013-03-31 00:00:00+00:00,Unknown source of precipitation ,1.0,WT19
1967-09-05 00:00:00+00:00,2013-03-31 00:00:00+00:00,Ground fog ,1.0,WT21
1979-01-01 00:00:00+00:00,2017-03-26 00:00:00+00:00,Ice fog or freezing fog,1.0,WT22
1996-07-01 00:00:00+00:00,2005-12-24 00:00:00+00:00,"Fog, ice fog, or freezing fog (may include heavy fog)",1.0,WV01
1996-07-02 00:00:00+00:00,2005-12-31 00:00:00+00:00,Thunder,1.0,WV03
1996-07-08 00:00:00+00:00,2005-09-09 00:00:00+00:00,"Ash, dust, sand, or other blowing obstruction",1.0,WV07
1996-10-21 00:00:00+00:00,2002-02-04 00:00:00+00:00,Snow or ice crystals,1.0,WV18
1996-07-01 00:00:00+00:00,2005-12-31 00:00:00+00:00,Rain or snow shower,1.0,WV20
